"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"1","JC",19,-1405.89499618943,2849.78999237886,1.41956998716968e-23,2850.69046631251,1.97234559903715e-23,2940.25987498614
"2","JC+I",20,-1405.33269667674,2850.66539335347,9.16359533506298e-24,2851.66183463461,1.21353711747065e-23,2945.89684872955
"3","JC+G(4)",20,-1405.33381877087,2850.66763754174,9.15331868527691e-24,2851.66407882288,1.21217617828656e-23,2945.89909291782
"4","JC+G(4)+I",21,-1405.33676662947,2852.67353325894,3.35740600258233e-24,2853.77092043234,4.22737624250175e-24,2952.66656140383
"5","F81",22,-1376.61359654041,2797.22719308083,3.68149023694015e-12,2798.43052245063,4.39628295920505e-12,2901.98179399452
"6","F81+I",23,-1376.06396321721,2798.12792643442,2.34656122767166e-12,2799.44221214871,2.65094068599373e-12,2907.64410011691
"7","F81+G(4)",23,-1376.06500155305,2798.13000310609,2.34412597358426e-12,2799.44428882038,2.64818954783254e-12,2907.64617678858
"8","F81+G(4)+I",24,-1376.06734071454,2800.13468142907,8.60340921254868e-13,2801.56495556495,9.17174844054833e-13,2914.41242788037
"9","K80",20,-1381.60364290631,2803.20728581262,1.85124123694215e-13,2804.20372709375,2.45160318878937e-13,2898.4387411887
"10","K80+I",21,-1380.83994094297,2803.67988188594,1.46163886483627e-13,2804.77726905933,1.84037837770399e-13,2903.67291003082
"11","K80+G(4)",21,-1380.85554465129,2803.71108930259,1.43900889320313e-13,2804.80847647598,1.8118845332369e-13,2903.70411744747
"12","K80+G(4)+I",22,-1380.84665147651,2805.69330295301,5.34110668453053e-14,2806.89663232281,6.37812809195818e-14,2910.4479038667
"13","HKY",23,-1352.27578070933,2750.55156141866,0.0502930863846419,2751.86584713294,0.0568167526800625,2860.06773510115
"14","HKY+I",24,-1351.38544979722,2750.77089959443,0.0450691750213918,2752.20117373031,0.0480464343270259,2865.04864604573
"15","HKY+G(4)",24,-1351.43580153792,2750.87160307584,0.0428560485503041,2752.30187721171,0.0456871092317686,2865.14934952713
"16","HKY+G(4)+I",25,-1351.3985609475,2752.797121895,0.0163640586126745,2754.34843454416,0.0164206143519404,2871.8364411151
"17","TrNe",21,-1381.5339798013,2805.0679596026,7.30168067423469e-14,2806.16534677599,9.19369042315787e-14,2905.06098774748
"18","TrNe+I",22,-1380.7870394689,2805.5740789378,5.66918225027046e-14,2806.7774083076,6.76990232634887e-14,2910.32867985149
"19","TrNe+G(4)",22,-1380.79910497488,2805.59820994975,5.60119169301308e-14,2806.80153931955,6.68871082263163e-14,2910.35281086344
"20","TrNe+G(4)+I",23,-1380.79099476797,2807.58198953595,2.07734281518838e-14,2808.89627525024,2.34680114995499e-14,2917.09816321844
"21","TrN",24,-1351.30631944134,2750.61263888269,0.0487804143993099,2752.04291301856,0.0520028373221635,2864.89038533398
"22","TrN+I",25,-1350.55872882718,2751.11745765435,0.0378988020037557,2752.66877030352,0.038029783859501,2870.15677687446
"23","TrN+G(4)",25,-1350.57003996586,2751.14007993172,0.0374725387047281,2752.69139258089,0.0376020473540661,2870.17939915182
"24","TrN+G(4)+I",26,-1350.55797472421,2753.11594944841,0.0139527079144529,2754.79336880325,0.0131453802963425,2876.91684143732
"25","TPM1",21,-1380.22289756192,2802.44579512383,2.70905996244544e-13,2803.54318229723,3.411030931602e-13,2902.43882326872
"26","TPM1+I",22,-1379.47677095424,2802.95354190848,2.10166167378018e-13,2804.15687127828,2.50971720901086e-13,2907.70814282217
"27","TPM1+G(4)",22,-1379.50428276359,2803.00856552717,2.04462928783421e-13,2804.21189489697,2.44161149900755e-13,2907.76316644086
"28","TPM1+G(4)+I",23,-1379.48392966833,2804.96785933665,7.67643068042682e-14,2806.28214505094,8.67216340830184e-14,2914.48403301915
"29","K81",21,-1380.22289756192,2802.44579512383,2.70905996244544e-13,2803.54318229723,3.411030931602e-13,2902.43882326872
"30","K81+I",22,-1379.47677095424,2802.95354190848,2.10166167378018e-13,2804.15687127828,2.50971720901086e-13,2907.70814282217
"31","K81+G(4)",22,-1379.50428276359,2803.00856552717,2.04462928783421e-13,2804.21189489697,2.44161149900755e-13,2907.76316644086
"32","K81+G(4)+I",23,-1379.48392966833,2804.96785933665,7.67643068042682e-14,2806.28214505094,8.67216340830184e-14,2914.48403301915
"33","TPM1u",24,-1350.90680063459,2749.81360126917,0.0727368180743461,2751.24387540505,0.0775417954978574,2864.09134772047
"34","TPM1u+I",25,-1350.05135548788,2750.10271097575,0.0629469835711711,2751.65402362492,0.0631645343191051,2869.14203019585
"35","TPM1u+G(4)",25,-1350.08989400162,2750.17978800324,0.0605672505933978,2751.73110065241,0.0607765767583602,2869.21910722334
"36","TPM1u+G(4)+I",26,-1350.06410940883,2752.12821881767,0.0228634352512246,2753.8056381725,0.0215405176615807,2875.92911080657
"37","TPM2",21,-1381.58255432352,2805.16510864704,6.95548132634259e-14,2806.26249582044,8.75778398308985e-14,2905.15813679192
"38","TPM2+I",22,-1380.82159036659,2805.64318073319,5.47665211149487e-14,2806.84651010298,6.53999081938912e-14,2910.39778164688
"39","TPM2+G(4)",22,-1380.83667731231,2805.67335462462,5.39464632228988e-14,2806.87668399442,6.44206290693111e-14,2910.42795553831
"40","TPM2+G(4)+I",23,-1380.82831638278,2807.65663276557,2.00124196337423e-14,2808.97091847985,2.26082902958841e-14,2917.17280644806
"41","TPM2u",24,-1352.15924511309,2752.31849022619,0.0207885679177367,2753.74876436207,0.0221618559190039,2866.59623667749
"42","TPM2u+I",25,-1351.26986625274,2752.53973250548,0.0186115448052988,2754.09104515464,0.0186758680700986,2871.57905172558
"43","TPM2u+G(4)",25,-1351.31975698327,2752.63951396654,0.0177057836500984,2754.1908266157,0.017766976518403,2871.67883318664
"44","TPM2u+G(4)+I",26,-1351.28256394196,2754.56512788392,0.0067604157348704,2756.24254723876,0.00636924648183846,2878.36601987283
"45","TPM3",21,-1381.60348457237,2805.20696914473,6.81141430989143e-14,2806.30435631813,8.57638635581292e-14,2905.19999728962
"46","TPM3+I",22,-1380.83885683258,2805.67771366517,5.38290138508652e-14,2806.88104303497,6.42803759001842e-14,2910.43231457886
"47","TPM3+G(4)",22,-1380.85472506988,2805.70945013976,5.29815836791379e-14,2806.91277950956,6.32684099344188e-14,2910.46405105345
"48","TPM3+G(4)+I",23,-1380.84558932348,2807.69117864696,1.9669714578813e-14,2809.00546436125,2.22211319457442e-14,2917.20735232946
"49","TPM3u",24,-1352.27544318469,2752.55088636938,0.0185080383787821,2753.98116050526,0.0197306751247644,2866.82863282068
"50","TPM3u+I",25,-1351.38348598067,2752.76697196135,0.016612615036207,2754.31828461051,0.0166700298100569,2871.80629118145
"51","TPM3u+G(4)",25,-1351.43458057202,2752.86916114405,0.0157851205241858,2754.42047379321,0.0158396753984854,2871.90848036415
"52","TPM3u+G(4)+I",26,-1351.39662652759,2754.79325305517,0.00603165721765746,2756.47067241001,0.00568265518273735,2878.59414504408
"53","TIM1e",22,-1380.15338699652,2804.30677399304,1.06834664600435e-13,2805.51010336284,1.27577525731984e-13,2909.06137490673
"54","TIM1e+I",23,-1379.42348244216,2804.84696488433,8.15476085050779e-14,2806.16125059861,9.21253921194712e-14,2914.36313856682
"55","TIM1e+G(4)",23,-1379.44745867694,2804.89491735389,7.96156569094613e-14,2806.20920306817,8.99428413179854e-14,2914.41109103638
"56","TIM1e+G(4)+I",24,-1379.42792627638,2806.85585255275,2.98666707764864e-14,2808.28612668863,3.18396561585219e-14,2921.13359900405
"57","TIM1",25,-1349.9380249264,2749.87604985279,0.0705007538713012,2751.42736250196,0.0707444111661305,2868.91536907289
